,Website,Room Type,Guest,CheckIn,ChakOut,price
0,Hotels.com,1 Bedroom Ocean View Villa - Bed And Breakfast,2,"Wed, 3 May","Thu, 4 May","US$1,022"
1,Hotels.com,3 Bedroom Ocean View Pool Villa - Bed And Breakfast,2,"Wed, 3 May","Thu, 4 May","US$3,325"
2,Expedia.com,1 Bedroom Ocean View Villa - Bed And Breakfast,2,"Wed, 3 May","Thu, 4 May","US$1,022"
3,Expedia.com,3 Bedroom Ocean View Pool Villa - Bed And Breakfast,2,"Wed, 3 May","Thu, 4 May","US$3,325"
4,Agoda,1 Bedroom Ocean View Villa - Bed And Breakfast,2,"Wed, 3 May","Thu, 4 May","US$1,022"
5,Agoda,3 Bedroom Ocean View Pool Villa - Bed And Breakfast,2,"Wed, 3 May","Thu, 4 May","US$3,325"
6,Hotels.com,"Family Villa, 1 King Bed - Bed And Breakfast",2,"Thu, 4 May","Fri, 5 May","US$1,201"
7,Hotels.com,3 Bedroom Hilltop Pool Villa - Bed And Breakfast,2,"Thu, 4 May","Fri, 5 May","US$3,106"
8,Hotels.com,3 Bedroom Ocean View Pool Villa - Bed And Breakfast,2,"Thu, 4 May","Fri, 5 May","US$3,371"
9,Hotels.com,3 Bedroom Beachfront Pool Villa - Bed And Breakfast,2,"Thu, 4 May","Fri, 5 May","US$3,660"
10,Hotels.com,"Family Villa, 1 King Bed - Bed And Breakfast",2,"Thu, 4 May","Fri, 5 May","US$1,200"
11,Hotels.com,3 Bedroom Hilltop Pool Villa - Bed And Breakfast,2,"Thu, 4 May","Fri, 5 May","US$3,103"
12,Hotels.com,3 Bedroom Ocean View Pool Villa - Bed And Breakfast,2,"Thu, 4 May","Fri, 5 May","US$3,368"
13,Hotels.com,3 Bedroom Beachfront Pool Villa - Bed And Breakfast,2,"Thu, 4 May","Fri, 5 May","US$3,657"
14,Hotels.com,Family Villa king bed,2,"Thu, 4 May","Fri, 5 May","US$1,201"
15,Hotels.com,Family Villa king bed,2,"Thu, 4 May","Fri, 5 May","US$1,294"
16,Hotels.com,Three-Bedroom Pool Villa with Ocean View,2,"Thu, 4 May","Fri, 5 May","US$2,972"
17,Hotels.com,Three Bedroom Pool Villa king bed,2,"Thu, 4 May","Fri, 5 May","US$3,107"
18,Hotels.com,Three Bedroom Pool Villa king bed,2,"Thu, 4 May","Fri, 5 May","US$3,199"
19,Hotels.com,Three Bedroom Pool Villa king bed,2,"Thu, 4 May","Fri, 5 May","US$3,292"
20,Hotels.com,Three Bedroom Ocean View Pool Villa king bed,2,"Thu, 4 May","Fri, 5 May","US$3,373"
21,Hotels.com,Three Bedroom Ocean View Pool Villa king bed,2,"Thu, 4 May","Fri, 5 May","US$3,465"
22,Hotels.com,Three Bedroom Ocean View Pool Villa king bed,2,"Thu, 4 May","Fri, 5 May","US$3,557"
23,Hotels.com,Three Bedroom Beachfront Pool Villa king bed,2,"Thu, 4 May","Fri, 5 May","US$3,661"
24,Hotels.com,Three Bedroom Beachfront Pool Villa king bed,2,"Thu, 4 May","Fri, 5 May","US$3,754"
25,Hotels.com,Three Bedroom Beachfront Pool Villa king bed,2,"Thu, 4 May","Fri, 5 May","US$3,846"
26,Expedia.com,"Family Villa, 1 King Bed - Bed And Breakfast",2,"Thu, 4 May","Fri, 5 May","US$1,201"
27,Expedia.com,3 Bedroom Hilltop Pool Villa - Bed And Breakfast,2,"Thu, 4 May","Fri, 5 May","US$3,106"
28,Expedia.com,3 Bedroom Ocean View Pool Villa - Bed And Breakfast,2,"Thu, 4 May","Fri, 5 May","US$3,371"
29,Expedia.com,3 Bedroom Beachfront Pool Villa - Bed And Breakfast,2,"Thu, 4 May","Fri, 5 May","US$3,660"
30,Expedia.com,"Family Villa, 1 King Bed - Bed And Breakfast",2,"Thu, 4 May","Fri, 5 May","US$1,200"
31,Expedia.com,3 Bedroom Hilltop Pool Villa - Bed And Breakfast,2,"Thu, 4 May","Fri, 5 May","US$3,103"
32,Expedia.com,3 Bedroom Ocean View Pool Villa - Bed And Breakfast,2,"Thu, 4 May","Fri, 5 May","US$3,368"
33,Expedia.com,3 Bedroom Beachfront Pool Villa - Bed And Breakfast,2,"Thu, 4 May","Fri, 5 May","US$3,657"
34,Expedia.com,Family Villa king bed,2,"Thu, 4 May","Fri, 5 May","US$1,201"
35,Expedia.com,Family Villa king bed,2,"Thu, 4 May","Fri, 5 May","US$1,294"
36,Expedia.com,Three-Bedroom Pool Villa with Ocean View,2,"Thu, 4 May","Fri, 5 May","US$2,972"
37,Expedia.com,Three Bedroom Pool Villa king bed,2,"Thu, 4 May","Fri, 5 May","US$3,107"
38,Expedia.com,Three Bedroom Pool Villa king bed,2,"Thu, 4 May","Fri, 5 May","US$3,199"
39,Expedia.com,Three Bedroom Pool Villa king bed,2,"Thu, 4 May","Fri, 5 May","US$3,292"
40,Expedia.com,Three Bedroom Ocean View Pool Villa king bed,2,"Thu, 4 May","Fri, 5 May","US$3,373"
41,Expedia.com,Three Bedroom Ocean View Pool Villa king bed,2,"Thu, 4 May","Fri, 5 May","US$3,465"
42,Expedia.com,Three Bedroom Ocean View Pool Villa king bed,2,"Thu, 4 May","Fri, 5 May","US$3,557"
43,Expedia.com,Three Bedroom Beachfront Pool Villa king bed,2,"Thu, 4 May","Fri, 5 May","US$3,661"
44,Expedia.com,Three Bedroom Beachfront Pool Villa king bed,2,"Thu, 4 May","Fri, 5 May","US$3,754"
45,Expedia.com,Three Bedroom Beachfront Pool Villa king bed,2,"Thu, 4 May","Fri, 5 May","US$3,846"
46,Agoda,"Family Villa, 1 King Bed - Bed And Breakfast",2,"Thu, 4 May","Fri, 5 May","US$1,201"
47,Agoda,3 Bedroom Hilltop Pool Villa - Bed And Breakfast,2,"Thu, 4 May","Fri, 5 May","US$3,106"
48,Agoda,3 Bedroom Ocean View Pool Villa - Bed And Breakfast,2,"Thu, 4 May","Fri, 5 May","US$3,371"
49,Agoda,3 Bedroom Beachfront Pool Villa - Bed And Breakfast,2,"Thu, 4 May","Fri, 5 May","US$3,660"
50,Agoda,"Family Villa, 1 King Bed - Bed And Breakfast",2,"Thu, 4 May","Fri, 5 May","US$1,200"
51,Agoda,3 Bedroom Hilltop Pool Villa - Bed And Breakfast,2,"Thu, 4 May","Fri, 5 May","US$3,103"
52,Agoda,3 Bedroom Ocean View Pool Villa - Bed And Breakfast,2,"Thu, 4 May","Fri, 5 May","US$3,368"
53,Agoda,3 Bedroom Beachfront Pool Villa - Bed And Breakfast,2,"Thu, 4 May","Fri, 5 May","US$3,657"
54,Agoda,Family Villa king bed,2,"Thu, 4 May","Fri, 5 May","US$1,201"
55,Agoda,Family Villa king bed,2,"Thu, 4 May","Fri, 5 May","US$1,294"
56,Agoda,Three-Bedroom Pool Villa with Ocean View,2,"Thu, 4 May","Fri, 5 May","US$2,972"
57,Agoda,Three Bedroom Pool Villa king bed,2,"Thu, 4 May","Fri, 5 May","US$3,107"
58,Agoda,Three Bedroom Pool Villa king bed,2,"Thu, 4 May","Fri, 5 May","US$3,199"
59,Agoda,Three Bedroom Pool Villa king bed,2,"Thu, 4 May","Fri, 5 May","US$3,292"
60,Agoda,Three Bedroom Ocean View Pool Villa king bed,2,"Thu, 4 May","Fri, 5 May","US$3,373"
61,Agoda,Three Bedroom Ocean View Pool Villa king bed,2,"Thu, 4 May","Fri, 5 May","US$3,465"
62,Agoda,Three Bedroom Ocean View Pool Villa king bed,2,"Thu, 4 May","Fri, 5 May","US$3,557"
63,Agoda,Three Bedroom Beachfront Pool Villa king bed,2,"Thu, 4 May","Fri, 5 May","US$3,661"
64,Agoda,Three Bedroom Beachfront Pool Villa king bed,2,"Thu, 4 May","Fri, 5 May","US$3,754"
65,Agoda,Three Bedroom Beachfront Pool Villa king bed,2,"Thu, 4 May","Fri, 5 May","US$3,846"
66,Hotels.com,"Family Villa, 1 King Bed - Bed And Breakfast",2,"Fri, 5 May","Fri, 5 May","US$1,201"
67,Hotels.com,3 Bedroom Hilltop Pool Villa - Bed And Breakfast,2,"Fri, 5 May","Fri, 5 May","US$3,106"
68,Hotels.com,3 Bedroom Ocean View Pool Villa - Bed And Breakfast,2,"Fri, 5 May","Fri, 5 May","US$3,371"
69,Hotels.com,3 Bedroom Beachfront Pool Villa - Bed And Breakfast,2,"Fri, 5 May","Fri, 5 May","US$3,660"
70,Hotels.com,"Family Villa, 1 King Bed - Bed And Breakfast",2,"Fri, 5 May","Fri, 5 May","US$1,200"
71,Hotels.com,3 Bedroom Hilltop Pool Villa - Bed And Breakfast,2,"Fri, 5 May","Fri, 5 May","US$3,103"
